面积,人均收入,平均房龄,价格
188.5816186,79245.63626,4.901877495,1096850.001
164.1615706,78936.74809,4.688918522,1455588.495
232.9496018,63236.99563,4.87828895,1051696.085
150.6086549,65122.34212,3.577503196,1373963.51
153.8625552,63628.64511,5.877774837,623122.2202
165.4543804,78251.30721,6.317630451,962417.2308
181.7723438,63814.8584,5.296688953,1540738.885
172.0550496,75195.11765,3.683635473,1442916.548
169.1511843,63762.73947,6.168690747,857747.1233
217.0523395,86801.37667,6.016150845,1543245.008
120.2299027,81138.87463,3.020139375,1640435.406
159.0550353,52055.91145,6.416328287,621404.7158
184.570935,36972.96699,3.411588203,1120578.494
187.096852,80057.89396,3.875795635,1392640.79
266.6054855,64766.85172,6.037194097,1370367.858
248.1357267,79296.76338,5.6609786,1399775.119
219.7114428,86673.26509,5.569104971,1561847.929
142.5694389,59881.9504,6.418308831,563691.1432
172.9919284,68559.53605,4.644467496,1083130.35
130.5214576,56059.69192,4.758164347,938646.2161
231.4446321,78040.34235,4.369851596,2212247.35
166.8744145,66485.31037,5.185444124,1000439.3
114.4597519,60494.05946,6.84847698,659607.5932
140.8571517,57868.91905,5.105991384,740567.7014
243.7301858,58694.88593,5.295344015,902787.2678
186.66995,54075.86623,2.730312886,1465572.519
135.0982992,86449.57615,6.474328582,1059028.577
162.9788758,66497.29449,5.085548797,1059038.294
131.5468571,94809.87481,4.290025565,1256767.174
208.3259943,60938.74277,4.093215023,1660397.714
202.1317701,80518.60069,5.592633593,1363675.014
159.6624002,62454.99928,4.731107509,1213546.769
238.6956989,59378.6496,3.555176483,1043060.103
174.8307901,49169.28701,4.533961807,537414.8707
184.2882727,53836.15073,5.367467853,978824.0367
154.1842791,76922.61451,5.003811042,1231805.578
220.4967573,75608.74305,4.987343632,1249835.582
177.189204,86307.6685,5.107094134,1142787.196
128.2940484,54685.44887,5.518576757,555762.5785
136.935493,18827.5165,5.887268605,313292.1774
147.6809643,52870.62321,4.26849,1064487.398
193.8626348,71102.54385,3.032770317,1864499.873
176.8031336,45119.02116,4.137771448,961182.9234
238.1933447,76099.15144,4.058536143,1637512.362
182.0974459,66463.43027,5.35065924,1221323.493
192.0412708,71633.27257,3.723092912,1645535.442
159.8608294,80869.53713,6.253041218,1205309.611
163.2792527,63297.17467,3.414373419,975023.807
144.7286035,79690.53341,4.866455499,1378200.024
134.9037752,81291.09339,4.14419024,1782769.341
178.4931538,81833.66412,4.395171048,1425397.319
126.2013449,47379.05613,5.179788411,508901.6061
145.0716606,64699.72637,4.824842751,1077432.869
169.5815441,76358.45212,5.191013508,1480062.839
228.2808607,75512.09331,5.933112651,891583.1587
249.1576104,65758.90279,5.462977144,1274023.402
204.7092188,76905.52355,2.540713284,1534847.355
184.3592385,66230.63632,5.081461018,1279966.748
127.5400686,50185.56363,3.735791116,843984.4622
141.529922,70936.03956,4.274498834,1076636.891
205.7571901,65465.9248,6.951283494,1162768.177
166.0289148,65825.08179,3.123336724,1114064.195
180.1721666,55108.07036,5.729462762,1353285.348
124.8817307,71589.26701,4.516621859,1332158.882
179.4021053,55350.93785,5.1640841,1473938.266
171.346159,56220.00535,5.191743037,893382.9765
147.4446934,70950.98626,6.067273029,1140734.685
111.2176831,77893.79407,4.717731802,1527657.32
208.9926392,65849.48795,3.796101051,1340156.959
153.8692074,79187.09334,5.850935459,1372362.701
155.1218598,63679.01025,6.559084736,1251792.45
203.4225848,80569.33574,3.570090017,1778060.876
148.4058635,54765.36575,6.081091882,855353.5878
175.1822394,62115.49196,5.395975003,742008.191
201.5541989,80515.93953,5.360627423,1632502.974
141.8990794,64771.6458,5.169210111,1105957.768
182.5216853,56643.99854,4.94119009,972193.5504
154.6285701,68427.15699,6.623186522,1238910.744
210.8865508,67629.08578,3.475745104,1625152.129
238.5720883,63744.70562,3.684254312,1596901.034
217.1386664,59900.62315,2.529864116,1306662.005
167.3727252,75071.43275,6.600679705,1117622.825
171.4881765,87724.82129,6.308113858,1097791.465
195.9022386,88109.63446,5.945756557,1823209.997
212.0974162,63337.07997,5.095425511,1814692.653
131.500098,60861.41874,5.537962793,1081664.086
209.0768201,69849.04519,4.42639211,1099022.427
96.39225076,76848.58275,6.33785321,1184866.968
149.2732115,77679.19231,2.920749998,1541907.971
